StrengthHub Online | Master Exercise Database																																			
110 exercises with screen ready copy, Min RIR floors and ID backed substitutions. The workbook is the full workout backend: read order is Screening Outcomes, Split Selector or Custom Split Rules, Schedule Rules + External Commitments, Session Templates, Exercise Database, Prescription Logic, Safety Rules, Substitutions.																																			
ID	Exercise	Muscle Group	Primary Muscles	Movement Pattern	Substitution Group	Type	Equipment Tier	Equipment	Skill Level	Unilateral	Loadable	Prescription Class	Primary Goal Fit	Why It Is In The Database	What It Does	Step 1	Step 2	Step 3	Common Mistake	Substitutions (Best First)	Substitution Count	Min RIR	Safety Note	Substitution IDs (Best First)	Failure Allowed	Spotter Recommended	Required Equipment Tags	Optional Equipment Tags	Impact Level	Supported	Active	video_url	Measurement Type	Load Unit	Stress Regions
TR04	Skull Crusher	Triceps	Triceps, long head	Isolation	Triceps | Extension	Isolation	Basic Gym	EZ bar or dumbbells	Intermediate	No	Yes	Load	Hypertrophy	Free weight overhead style extension for users with no cable stack. Preserves long head training in a home gym.	A lying extension that loads the triceps hard through a long range.	Lie back holding the bar over your chest with straight arms	Bend only at the elbows and lower the bar toward your forehead	Press back up without letting the elbows drift	Letting the elbows flare out and the shoulders take over.	Overhead Cable Extension, Triceps Pushdown, Band Triceps Pushdown, Close Grip Bench Press, Diamond Push Up	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Overhead Cable Extension.	TR02, TR03, TR07, TR01, TR06	Yes	No	ez_bar/dumbbell		Low	Yes	Yes		weight_reps	kg	elbow
TR05	Bench Dip	Triceps	Triceps	Vertical Push	Triceps | Compound Press	Compound	Bodyweight	Bench or chair	Beginner	No	No	Rep	General Fitness	No equipment beyond a chair. Keeps direct triceps work in the program for bodyweight only users.	A bodyweight dip off a bench. Triceps work with nothing but a chair.	Sit on a bench, hands beside your hips, and slide your feet forward	Lower your body by bending your elbows straight back	Press back up until your arms are straight	Dropping too low and rolling the shoulders forward.	Diamond Push Up, Triceps Pushdown, Band Triceps Pushdown, Close Grip Bench Press	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Diamond Push Up.	TR06, TR03, TR07, TR01	Yes	No	bench/chair		Low	No	Yes		reps	bodyweight	shoulder, elbow, wrist
TR06	Diamond Push Up	Triceps	Triceps, pectoralis	Horizontal Push	Triceps | Compound Press	Compound	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Second bodyweight triceps movement, so a user who dislikes bench dips or has cranky shoulders still has direct arm work.	A narrow push up that shifts the work from the chest to the triceps.	Set your hands close together under your chest	Lower with your elbows tucked close to your ribs	Press back up in one straight line	Flaring the elbows out wide, which loads the shoulders.	Bench Dip, Band Triceps Pushdown, Triceps Pushdown, Close Grip Bench Press	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Bench Dip.	TR05, TR07, TR03, TR01	Yes	No	none		Low	No	Yes		reps	bodyweight	shoulder, elbow, wrist, chest
TR07	Band Triceps Pushdown	Triceps	Triceps, lateral head	Isolation	Triceps | Extension	Isolation	Bodyweight	Resistance band, anchor	Beginner	No	Yes	Load	General Fitness	Replicates the cable pushdown with a band and a door anchor. Keeps a low fatigue triceps finisher available to users with no gym access.	A banded pushdown. Full triceps work with a band and a door.	Anchor the band high and grip it with both hands	Push down until your arms are straight, elbows at your sides	Let the band rise back slowly	Letting the elbows travel forward as you push.	Triceps Pushdown, Overhead Cable Extension, Diamond Push Up, Bench Dip	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Triceps Pushdown.	TR03, TR02, TR06, TR05	Yes	No	band,anchor_point		Low	No	Yes		weight_reps	kg	elbow
CO01	Plank	Core	Rectus abdominis, transverse abdominis	Anti Extension	Core | Anti Extension	Isolation	Bodyweight	None	Beginner	No	No	Time	General Fitness	Teaches the bracing that protects the spine under every barbell lift. Universally accessible and easy to time and progress.	A hold that teaches the core to resist your spine bending under load.	Set your elbows under your shoulders and your body in one line	Squeeze your glutes and pull your belly button in	Breathe normally and hold for time	Letting the hips sag or pike up as you fatigue.	Dead Bug, Hollow Body Hold, Bird Dog, Ab Wheel Rollout, Reverse Crunch	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dead Bug.	CO02, CO11, CO12, CO06, CO09	Yes	No	none		Low	Yes	Yes		duration	seconds	core, lower_back
CO02	Dead Bug	Core	Transverse abdominis, obliques	Anti Extension	Core | Anti Extension	Isolation	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Trains core stability while limbs move, with almost zero spinal load. Safe for users with existing lower back pain.	A slow, controlled drill that trains the deep core without straining the back.	Lie on your back with your arms and knees up over you	Lower one arm and the opposite leg toward the floor	Return and repeat on the other side, keeping your back flat	Letting the lower back arch off the floor as the leg lowers.	Plank, Bird Dog, Reverse Crunch, Hollow Body Hold	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Plank.	CO01, CO12, CO09, CO11	Yes	No	none		Low	Yes	Yes		reps	bodyweight	core, lower_back
CO03	Hanging Leg Raise	Core	Rectus abdominis, hip flexors	Anti Extension	Core | Anti Extension	Isolation	Basic Gym	Pull up bar	Advanced	No	No	Rep	Hypertrophy	One of the few core movements that loads the abs through a long range against real resistance. The upper end of core progression.	A hanging raise that loads the lower abs hard. Advanced users only.	Hang from a bar with your shoulders pulled down	Raise your legs until your thighs pass parallel	Lower slowly without swinging	Swinging back and forth and using momentum, not the abs.	Reverse Crunch, Hollow Body Hold, Cable Crunch, Dead Bug, Plank	5	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Reverse Crunch instead.	CO09, CO11, CO08, CO02, CO01	No	No	pull_up_bar		Low	No	Yes		reps	bodyweight	core, hip
CO04	Cable Woodchop	Core	Obliques, transverse abdominis	Rotation	Core | Rotation	Isolation	Full Gym	Cable machine	Intermediate	Yes	Yes	Load	General Fitness	Trains resisted rotation, which is the pattern used in almost every sport. Rotation is otherwise missing from a standard lifting program.	A cable chop that trains the core to move and brace through rotation.	Set the pulley high and stand side on with your feet planted	Pull the handle down and across your body, rotating through the ribs	Return slowly and stay braced	Rotating from the lower back rather than the ribs and hips.	Standing Band Rotation, Russian Twist, Pallof Press, Side Plank	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Standing Band Rotation.	CO10, CO14, CO05, CO07	Yes	No	cable_machine		Low	No	Yes		weight_reps	kg	lower_back, core
CO05	Pallof Press	Core	Obliques, transverse abdominis	Anti Rotation	Core | Anti Rotation	Isolation	Bodyweight	Cable or resistance band	Beginner	Yes	Yes	Load	General Fitness	Anti rotation strength with a band substitute available. Directly improves the trunk stiffness that carries over to squat and deadlift.	An anti rotation press that builds a genuinely stable, strong midsection.	Stand side on to a cable or band at chest height	Press your hands straight out in front of your chest	Resist the pull, hold briefly, then bring your hands back in	Letting the torso twist toward the anchor as you press.	Standing Band Rotation, Bird Dog, Plank, Dead Bug, Side Plank	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Standing Band Rotation.	CO10, CO12, CO01, CO02, CO07	Yes	No	cable_machine/band		Low	No	Yes		weight_reps	kg	core
CO06	Ab Wheel Rollout	Core	Rectus abdominis, lats	Anti Extension	Core | Anti Extension	Isolation	Basic Gym	Ab wheel	Advanced	No	No	Rep	Hypertrophy	The hardest anti extension movement most people will ever do, from a cheap piece of kit. Excellent progression target for the plank.	The hardest anti extension exercise in the gym. Advanced users only.	Kneel with the wheel under your shoulders	Roll forward as far as you can hold a flat back	Pull yourself back with your abs, not your hips	Rolling out so far the lower back sags into an arch.	Hollow Body Hold, Plank, Dead Bug, Cable Crunch, Reverse Crunch	5	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Hollow Body Hold instead.	CO11, CO01, CO02, CO08, CO09	No	No	ab_wheel		Low	No	Yes		reps	bodyweight	core, lower_back
CO07	Side Plank	Core	Obliques, quadratus lumborum	Lateral Flexion	Core | Lateral Flexion	Isolation	Bodyweight	None	Beginner	Yes	No	Time	General Fitness	Covers the lateral trunk, which the front plank ignores. Rounds out the core in the frontal plane.	A side hold that trains the obliques and the muscles that stop you tipping sideways.	Lie on your side with your elbow under your shoulder	Lift your hips so your body forms one straight line	Hold for time, then swap sides	Letting the hips drift backwards out of line.	Copenhagen Plank, Suitcase Carry, Pallof Press, Plank	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Copenhagen Plank.	CO13, FB07, CO05, CO01	Yes	No	none		Low	Yes	Yes		duration	seconds	core
CO08	Cable Crunch	Core	Rectus abdominis	Anti Extension	Core | Anti Extension	Isolation	Full Gym	Cable machine, rope	Beginner	No	Yes	Load	Hypertrophy	Progressive overload for the abs, which bodyweight crunches cannot provide once a user is conditioned. Treats abs like any other muscle.	A loadable crunch that lets you actually progress the abs over a semester.	Kneel facing a high rope and hold it beside your head	Crunch down by rounding your spine, hips staying still	Return slowly under control	Hinging at the hips instead of curling the spine.	Reverse Crunch, Hanging Leg Raise, Hollow Body Hold, Plank, Dead Bug	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Reverse Crunch.	CO09, CO03, CO11, CO01, CO02	Yes	No	cable_machine,rope_attachment		Low	No	Yes		weight_reps	kg	core
CO09	Reverse Crunch	Core	Rectus abdominis, hip flexors	Anti Extension	Core | Anti Extension	Isolation	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Bridges the gap between the dead bug and the hanging leg raise. Trains posterior pelvic tilt against gravity with no equipment, giving the generator a middle rung on the core ladder.	A crunch that curls the hips up. Hits the lower abs with zero equipment.	Lie on your back with your knees bent over your hips	Curl your hips off the floor toward your ribs	Lower slowly without letting your feet touch down	Swinging the legs up rather than curling the pelvis.	Hollow Body Hold, Dead Bug, Cable Crunch, Plank	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Hollow Body Hold.	CO11, CO02, CO08, CO01	Yes	No	none		Low	Yes	Yes		reps	bodyweight	core
CO10	Standing Band Rotation	Core	Obliques, transverse abdominis	Rotation	Core | Rotation	Isolation	Bodyweight	Resistance band	Beginner	Yes	Yes	Load	General Fitness	Rotation was only trainable on a cable machine. This makes the pattern available to every user and gives the woodchop a true alternative.	A standing rotation that trains the core to produce twist, not just resist it.	Anchor a band at chest height and stand side on	Rotate your ribs away from the anchor with straight arms	Return slowly and keep your hips fairly quiet	Turning the arms only while the torso stays still.	Cable Woodchop, Russian Twist, Pallof Press	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Cable Woodchop.	CO04, CO14, CO05	Yes	No	band		Low	No	Yes		weight_reps	kg	lower_back, core
CO11	Hollow Body Hold	Core	Rectus abdominis, transverse abdominis	Anti Extension	Core | Anti Extension	Isolation	Bodyweight	None	Intermediate	No	No	Time	General Fitness	The progression between the plank and the hanging leg raise, and it carries directly into gymnastic and calisthenic goals. Trains the whole anterior chain under tension.	A hold that locks the whole front of the core under tension at once.	Lie on your back and press your lower back into the floor	Lift your arms, head and legs a few inches off the ground	Hold and keep the lower back flat the whole time	Letting a gap open under the lower back.	Dead Bug, Plank, Reverse Crunch, Ab Wheel Rollout	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dead Bug.	CO02, CO01, CO09, CO06	Yes	No	none		Low	Yes	Yes		duration	seconds	core
CO12	Bird Dog	Core	Transverse abdominis, obliques, erectors	Anti Rotation	Core | Anti Rotation	Isolation	Bodyweight	None	Beginner	Yes	No	Time	General Fitness	Anti rotation with zero equipment, where the Pallof press previously needed a band or cable. Also the most back friendly core movement in the database.	A gentle drill that builds core control and is safe for almost any back.	Start on all fours with a flat back	Reach one arm forward and the opposite leg back	Hold briefly, return, and swap sides without rocking	Letting the hips rotate as the leg lifts.	Dead Bug, Pallof Press, Plank	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dead Bug.	CO02, CO05, CO01	Yes	No	none		Low	Yes	Yes		duration	seconds	core, lower_back
CO13	Copenhagen Plank	Core	Adductors, obliques	Lateral Flexion	Core | Lateral Flexion	Isolation	Bodyweight	Bench or chair	Advanced	Yes	No	Time	General Fitness	The only movement here that loads the adductors, which nothing else in the database trains directly. Strong evidence base for reducing groin injury in field sport athletes.	A side plank variation that also protects the groin. Advanced users only.	Set your top leg on a bench and your elbow under your shoulder	Lift your hips until your body is in one straight line	Hold for time, then swap sides	Starting with the full version before the knee supported one.	Side Plank, Suitcase Carry, Pallof Press, Plank	4	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Side Plank instead.	CO07, FB07, CO05, CO01	No	No	bench/chair		Low	Yes	Yes		duration	seconds	core, hip
CA01	Standing Calf Raise	Calves	Gastrocnemius	Isolation	Calves | Isolation	Isolation	Basic Gym	Machine, dumbbells or step	Beginner	No	Yes	Load	Hypertrophy	Knee extended, so the gastrocnemius takes the load. The main calf builder and easy to run anywhere with a step.	A standing raise that builds the calf through a full stretch and contraction.	Stand with the balls of your feet on a step or platform	Drop your heels down until you feel a stretch	Push all the way up onto your toes and pause	Bouncing through the reps and skipping the stretch.	Seated Calf Raise, Single Leg Calf Raise, Pogo Hop	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Seated Calf Raise.	CA02, CA03, CA04	Yes	No	machine_calf/dumbbell/step		Low	No	Yes		weight_reps	kg	ankle
CA02	Seated Calf Raise	Calves	Soleus	Isolation	Calves | Isolation	Isolation	Full Gym	Seated calf machine	Beginner	No	Yes	Load	Hypertrophy	Knee bent, which shifts work to the soleus. The two calf muscles need different knee angles, so both variants are required for full development.	A seated raise that targets the deeper calf muscle under the main one.	Sit with the pad on your thighs and the balls of your feet on the platform	Lower your heels until you feel a stretch	Press up onto your toes and squeeze	Using half the range because the weight is too heavy.	Standing Calf Raise, Single Leg Calf Raise, Pogo Hop	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Standing Calf Raise.	CA01, CA03, CA04	Yes	No	machine_seated_calf		Low	Yes	Yes		weight_reps	kg	ankle
CA03	Single Leg Calf Raise	Calves	Gastrocnemius, soleus	Isolation	Calves | Isolation	Isolation	Bodyweight	Step	Beginner	Yes	No	Rep	General Fitness	Doubles the load using only bodyweight. Makes calf training viable with no equipment at all.	A one leg raise that doubles the load on each calf with no weights.	Stand on one foot with the ball of your foot on a step	Lower your heel until you feel a stretch	Push up onto your toes and pause at the top	Holding the rail so hard that your arm takes the load.	Standing Calf Raise, Seated Calf Raise, Pogo Hop	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Standing Calf Raise.	CA01, CA02, CA04	Yes	No	step/stair		Low	No	Yes		reps	bodyweight	ankle
FB01	Kettlebell Swing	Full Body & Conditioning	Glutes, hamstrings, erectors	Hinge	Full Body & Conditioning | Hinge	Compound	Basic Gym	Kettlebell	Intermediate	No	Yes	Power	Fat Loss	Builds explosive hip extension and drives heart rate hard with a single tool. Bridges strength work and conditioning in one exercise.	An explosive hip hinge that builds power and conditioning at the same time.	Stand with the bell an arm's length in front of you and hinge to grip it	Hike it back between your legs, then snap your hips forward	Let it float to chest height and guide it back down	Squatting the bell up and lifting with the arms.	Dumbbell Swing, Cable Pull Through, Romanian Deadlift, Jump Squat, Burpee	5	2	Never taken to failure. End the set as soon as speed or landing quality drops.	FB11, HG08, HG01, QD13, FB03	No	No	kettlebell		Moderate	No	Yes		reps	bodyweight	lower_back, hip, hamstring
FB02	Farmer Carry	Full Body & Conditioning	Traps, forearms, core	Carry	Full Body | Carry	Compound	Basic Gym	Dumbbells or kettlebells	Beginner	No	Yes	Time	General Fitness	Grip, trunk and postural strength under a real load. Almost impossible to do with bad technique, so it is safe to prescribe to anyone.	A loaded walk that builds grip, traps and a rock solid core.	Pick up a heavy weight in each hand with a flat back	Stand tall, shoulders back, and walk with short controlled steps	Walk for the set time, then place the weights down carefully	Leaning back or letting the shoulders round forward.	Suitcase Carry, Side Plank, Plank	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Suitcase Carry.	FB07, CO07, CO01	Yes	No	dumbbell/kettlebell		Low	No	Yes		duration	seconds	shoulder, core, grip, lower_back
FB07	Suitcase Carry	Full Body & Conditioning	Obliques, traps, forearms, core	Carry	Full Body | Carry	Compound	Basic Gym	Single dumbbell or kettlebell	Beginner	Yes	Yes	Time	General Fitness	Alternative to the farmer carry and a loaded anti lateral flexion movement, which the side plank was otherwise carrying alone.	A one sided carry that forces the obliques to stop you tipping over.	Pick up one weight and stand tall	Walk in a straight line without leaning to either side	Swap hands and repeat for the same distance	Leaning away from the weight instead of staying upright.	Farmer Carry, Side Plank, Pallof Press	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Farmer Carry.	FB02, CO07, CO05	Yes	No	dumbbell/kettlebell		Low	No	Yes		duration	seconds	shoulder, core, grip, lower_back
CA04	Pogo Hop	Calves	Gastrocnemius, soleus	Isolation	Calves | Isolation	Isolation	Bodyweight	None	Beginner	No	No	Power	General Fitness	Trains the calves elastically rather than through slow tension, and gives the single leg calf raise its only bodyweight alternative. Doubles as a low cost warm up.	A springy hop that builds calf stiffness and elasticity for running and jumping.	Stand tall with stiff ankles and straight legs	Hop lightly off the balls of your feet	Spend as little time on the ground as possible	Bending the knees and turning it into a squat jump.	Single Leg Calf Raise, Standing Calf Raise, Seated Calf Raise	3	2	Never taken to failure. End the set as soon as speed or landing quality drops.	CA03, CA01, CA02	No	No	none		High	No	Yes		reps	bodyweight	ankle
FB03	Burpee	Full Body & Conditioning	Full body	Full Body	Full Body & Conditioning | Full Body	Compound	Bodyweight	None	Intermediate	No	No	Interval	Fat Loss	Maximum conditioning stimulus per second with zero equipment. The workhorse of any circuit or HIIT block.	A full body conditioning move that raises your heart rate faster than almost anything.	Squat down and place your hands on the floor	Jump or step your feet back and lower your chest to the ground	Push up, step your feet in, and jump up	Collapsing at the bottom and losing all core tension.	Mountain Climber, Jumping Jack, High Knees, Bear Crawl, Jump Squat	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Mountain Climber.	FB04, FB08, FB10, FB09, QD13	Yes	No	none		High	No	Yes		interval	rounds	knee, ankle, shoulder
FB04	Mountain Climber	Full Body & Conditioning	Core, hip flexors, shoulders	Full Body	Full Body & Conditioning | Full Body	Compound	Bodyweight	None	Beginner	No	No	Interval	Fat Loss	Raises heart rate while loading the core in a plank position. Low skill, apartment friendly and quiet enough for shared housing.	A moving plank that trains the core and lungs at the same time.	Start in a push up position with your hips level	Drive one knee toward your chest, then swap	Keep the pace steady and the hips low	Letting the hips bounce up and down with every rep.	Bear Crawl, High Knees, Jumping Jack, Plank, Burpee	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Bear Crawl.	FB09, FB10, FB08, CO01, FB03	Yes	No	none		Moderate	No	Yes		interval	rounds	shoulder, core
FB08	Jumping Jack	Full Body & Conditioning	Full body	Conditioning	Full Body & Conditioning | Conditioning	Compound	Bodyweight	None	Beginner	No	No	Interval	Fat Loss	The lowest barrier conditioning movement in the database. Gives a deconditioned user something to do in a circuit when burpees and mountain climbers are too hard.	A simple low impact way to raise your heart rate and warm the whole body.	Stand with your feet together and arms at your sides	Jump your feet out as you raise your arms overhead	Jump back in and keep a steady rhythm	Landing heavily on straight legs instead of soft knees.	High Knees, Mountain Climber, Pogo Hop, Bear Crawl	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to High Knees.	FB10, FB04, CA04, FB09	Yes	No	none		High	No	Yes		interval	rounds	knee, ankle, hip
FB09	Bear Crawl	Full Body & Conditioning	Core, shoulders, quads	Full Body	Full Body & Conditioning | Full Body	Compound	Bodyweight	None	Beginner	No	No	Interval	Fat Loss	Loads the core and shoulders while moving, which no static hold does. Quiet, joint friendly and needs only a few metres of floor.	A crawl that builds core control, shoulder stability and conditioning in one move.	Start on hands and toes with your knees just off the floor	Crawl forward moving the opposite hand and foot together	Keep your hips low and your back flat	Lifting the hips high and letting the back sway side to side.	Mountain Climber, Plank, Burpee, High Knees	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Mountain Climber.	FB04, CO01, FB03, FB10	Yes	No	none		Low	No	Yes		interval	rounds	shoulder, core, knee
FB05	Rowing Machine Interval	Full Body & Conditioning	Legs, back, arms	Conditioning	Full Body & Conditioning | Conditioning	Compound	Basic Gym	Rowing erg	Beginner	No	Yes	Interval	Fat Loss	Low impact, full body cardio with objective output in watts. Ideal for users chasing fat loss without joint stress.	Rowing intervals. High output cardio that spares the knees and works the back.	Set the damper around 4 or 5 and sit tall	Drive with the legs, then lean back, then pull with the arms	Reverse that order on the way in and repeat for the interval	Yanking with the arms first and letting the legs do nothing.	Assault Bike or Stationary Bike Interval, High Knees, Jumping Jack, Burpee, Mountain Climber	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Assault Bike or Stationary Bike Interval.	FB06, FB10, FB08, FB03, FB04	Yes	No	rowing_erg		Low	No	Yes		interval	rounds	knee, ankle, hip
FB06	Assault Bike or Stationary Bike Interval	Full Body & Conditioning	Legs, lungs	Conditioning	Full Body & Conditioning | Conditioning	Compound	Basic Gym	Bike	Beginner	No	Yes	Interval	Fat Loss	Self limiting and near impossible to injure yourself on, so intensity can be pushed to true maximum. The safest way to prescribe hard intervals remotely.	Bike intervals. The lowest skill and lowest impact way to push hard cardio.	Set the seat so your knee stays slightly bent at the bottom	Ride easy for the warm up, then push hard for the work interval	Recover at an easy pace, then repeat	Going too hard on the first interval and dying on the rest.	Rowing Machine Interval, High Knees, Jumping Jack, Burpee, Mountain Climber	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Rowing Machine Interval.	FB05, FB10, FB08, FB03, FB04	Yes	No	stationary_bike		Low	No	Yes		interval	rounds	knee, ankle, hip
BK12	Trap Bar Deadlift	Back	Erector spinae, lats, glutes, quads, traps	Hinge	Back | Hinge	Compound	Full Gym	Trap bar, plates	Intermediate	No	Yes	Load	Strength	The safe entry point to heavy deadlifting. Handles at the sides keep the bar path over the mid foot and make a flat back far easier to hold, so users who are intimidated by the conventional deadlift still get the pattern.	A deadlift with the handles at your sides. Far easier to keep a flat back than the barbell version.	Stand inside the bar and grip the handles at your sides	Push the floor away, chest tall, back flat	Stand fully upright, then push the hips back to lower	Letting the hips shoot up first so the back takes the load.	Conventional Deadlift, Dumbbell Deadlift, Rack Pull, Romanian Deadlift, Cable Pull Through, Goblet Squat	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Conventional Deadlift if form breaks down.	BK01, BK13, BK10, HG01, HG08, QD02	No	No	trap_bar,plates		Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
BK13	Dumbbell Deadlift	Back	Erector spinae, glutes, hamstrings, traps	Hinge	Back | Hinge	Compound	Basic Gym	Dumbbells	Beginner	No	Yes	Load	General Fitness	A beginner friendly hinge with a short range and a light load ceiling. Exists so that no user is ever left without a deadlift option when the barbell version is gated or refused.	The friendliest way into deadlifting. Same pattern as the barbell, far less to go wrong.	Stand with a dumbbell outside each foot and hinge down to grip them	Set your back flat and chest tall, then stand up	Push your hips back to lower the dumbbells to the floor	Squatting the weight up instead of hinging at the hips.	Trap Bar Deadlift, Romanian Deadlift, Rack Pull, Cable Pull Through, Back Extension, Glute Bridge, Prone Superman	7	1	Free weight compound. Always stop at least one rep short of failure. Swap to Trap Bar Deadlift if form breaks down.	BK12, HG01, BK10, HG08, HG09, HG03, HG12	No	No	dumbbell		Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
BK14	Band Bent Over Row	Back	Lats, rhomboids, mid traps, rear delts	Horizontal Pull	Back | Horizontal Pull	Compound	Bodyweight	Resistance band	Beginner	No	Yes	Load	General Fitness	The only loadable horizontal pull available to a user with no bar and no bench. Closes the bodyweight tier row gap left by the inverted row.	A banded row that covers the horizontal pull when you train at home.	Anchor the band low or stand on it, then hinge forward with a flat back	Row your hands to your lower ribs and squeeze the shoulder blades	Straighten the arms slowly against the band	Standing upright so the band pulls forward instead of down.	Inverted Row, Chest Supported Dumbbell Row, Dumbbell Single Arm Row, Seated Cable Row	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Inverted Row.	BK07, BK08, BK03, BK06	Yes	No	band		Low	No	Yes		weight_reps	kg	shoulder, elbow, upper_back
BK15	Band Assisted Chin Up	Back	Lats, biceps, mid traps	Vertical Pull	Back | Vertical Pull	Compound	Bodyweight	Pull up bar, resistance band	Beginner	No	No	Rep	General Fitness	The bridge between a lat pulldown and a full chin up. Gives beginners a scalable vertical pull and a clear progression to track.	A chin up with a band taking part of your weight. The bridge to a full bodyweight chin up.	Loop a band over the bar and put one foot or knee in it	Pull your chest toward the bar, driving your elbows down	Lower slowly to straight arms	Using such a thick band that the back barely works.	Lat Pulldown, Chin Up, Band Lat Pulldown, Inverted Row, Straight Arm Pulldown	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Lat Pulldown.	BK05, BK04, BK11, BK07, BK09	Yes	No	pull_up_bar,band		Low	No	Yes		assisted	assist_kg	shoulder, elbow
SH11	Band Overhead Press	Shoulders	Anterior delt, lateral delt, triceps	Vertical Push	Shoulders | Vertical Push	Compound	Bodyweight	Resistance band	Beginner	No	Yes	Load	General Fitness	A loadable overhead press for the bodyweight tier. Replaces the pike push up for users who cannot support their weight on their hands.	A banded overhead press for training shoulders at home with real tension.	Stand on the band and hold the ends at shoulder height	Press straight overhead without letting your ribs flare	Lower slowly to shoulder height	Letting the band pull your hands forward at the bottom.	Seated Dumbbell Shoulder Press, Arnold Press, Pike Push Up, Barbell Overhead Press, Band Lateral Raise	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Seated Dumbbell Shoulder Press.	SH02, SH07, SH08, SH01, SH09	Yes	No	band		Low	No	Yes		weight_reps	kg	shoulder, elbow, wrist
SH12	Band Pull Apart	Shoulders	Rear delt, rhomboids, mid traps	Horizontal Pull	Shoulders | Rear Delt	Isolation	Bodyweight	Resistance band	Beginner	No	Yes	Rep	General Fitness	The cheapest, fastest rear delt exercise there is. Fills the bodyweight rear delt gap and doubles as a warm up set.	A simple band drill for the rear delts and upper back. Great as a warm up or filler set.	Hold a band in front of you at shoulder height, arms straight	Pull your hands apart until the band touches your chest	Return slowly under control	Bending the elbows and rowing rather than pulling the band apart.	Rear Delt Fly, Face Pull, Prone Y-T-W Raise	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Rear Delt Fly.	SH05, SH06, SH10	Yes	No	band		Low	No	Yes		weight_reps	kg	shoulder, elbow, upper_back
QD14	Sissy Squat	Quads	Quadriceps	Isolation	Quads | Knee Extension	Isolation	Bodyweight	Wall or rack for balance	Intermediate	No	No	Rep	Hypertrophy	A bodyweight leg extension. Ensures a quad isolation exists for users with no leg extension machine.	A bodyweight quad isolation that gives you a leg extension without a machine.	Kneel or stand on your toes with your body in a straight line	Bend the knees and lean the body back as one piece	Pull yourself back up using the quads only	Bending at the hips, which takes the load off the quads.	Reverse Nordic Curl, Leg Extension, Wall Sit, Bodyweight Squat	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Reverse Nordic Curl.	QD10, QD07, QD12, QD09	Yes	No	wall/rack		Low	No	Yes		reps	bodyweight	knee
HG13	Lateral Band Walk	Hamstrings & Glutes	Gluteus medius, gluteus minimus	Isolation	H&G | Abduction	Isolation	Bodyweight	Resistance band	Beginner	No	Yes	Rep	General Fitness	Covers hip abduction without a machine. Directly supports knee health for runners and anyone with a desk heavy day.	A band walk that fires up the side glutes and warms the hips before leg day.	Loop a band above your knees and take a quarter squat stance	Step sideways, keeping tension on the band the whole time	Take even steps in both directions	Letting the knees cave in between steps.	Hip Abduction, Single Leg Glute Bridge, Glute Bridge, Side Plank	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Hip Abduction.	HG10, HG11, HG03, CO07	Yes	No	band		Low	No	Yes		weight_reps	kg	knee, hip
